STATION,LATITUDE,LONGITUDE,ZIP_Code
wabashave&87thst,41.736646,-87.622634,60619
bensonave&churchst,42.048214,-87.683485,60201
chicagoave&washingtonst,42.032562,-87.679101,60202
aberdeenst&randolphst,41.884114,-87.654264,60661
chicagoave&sheridanrd,42.050491,-87.677821,60208
sheridanrd&noyesst(nu),42.058239,-87.677432,60208
universitylibrary(nu),42.052939,-87.673447,60208
woodst&milwaukeeave,41.907655,-87.672552,60622
keystoneave&fullertonave,41.92459,-87.72785,60641
dusableharbor,41.886976,-87.612813,60611
orleansst&chestnutst(nextapts),41.898203,-87.637536,60610
clintonst&jacksonblvd,41.878116,-87.639838,60606
lakefronttrail&wilsonave,41.965845,-87.645361,60625
bernardst&elstonave,41.949923,-87.713949,60625
centralparkave&bloomingdaleave,41.914166,-87.716755,60647
latrobeave&chicagoave,41.894745,-87.756895,60651
smithpark(*),41.892048,-87.689397,60647
westernave&fillmorest(*),41.868563,-87.686234,60612
archer(damen)ave&37thst,41.826712,-87.683144,60609
statest&54thst,41.796642,-87.625923,60621
mccormickplace,41.851375,-87.618835,60616
californiaave&cortezst,41.900363,-87.696704,60647
michiganave&8thst,41.872773,-87.623981,60605
dearbornst&vanburenst,41.876268,-87.629155,60604
chicagoave&dempsterst,42.041691,-87.680687,60208
delanoct&rooseveltrd,41.867491,-87.63219,60605
lasalledr&huronst,41.894877,-87.632326,60610
walshpark,41.91461,-87.667968,60622
kildareave&montroseave,41.96108,-87.73569,60641
malcolmxcollege,41.877618,-87.673895,60612
clarkst&newportst,41.94454,-87.654678,60657
fairbanksst&superiorst,41.895748,-87.620104,60611
orleansst&hubbardst,41.890028,-87.636618,60654
woodst&chicagoave(*),41.895634,-87.672069,60622
carpenterst&63rdst,41.77987,-87.650919,60621
stewartave&63rdst(*),41.779835,-87.634774,60621
